<<<<<<< HEAD
War,TV Movie,Animation,Mystery,Music,Romance,Horror,Fantasy,Western,History,Crime,Comedy,Drama,Family,Thriller,Action,Science Fiction,Foreign,Adventure,Documentary,id
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,19995
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,285
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,206647
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,49026
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,49529
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,559
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38757
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,99861
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,767
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,209112
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1452
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,10764
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,58
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,57201
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,49521
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2454
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,24428
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1865
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,41154
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,122917
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1930
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,20662
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,57158
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2268
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,254
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,597
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,271110
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,44833
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,135397
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,37724
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,558
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,68721
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,12155
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,36668
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,62211
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,8373
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,91314
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,68728
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,102382
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,20526
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,49013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,44912
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10193
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,534
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,168259
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,72190
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,127585
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,54138
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,81005
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64682
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,9543
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,68726
